date,gm,zone,name,stack,flag,picked_count,MH
07-08-2026,Akash Sharma,North,AjmerHub_AJM_PL,EXT,Future,1,NA
07-08-2026,Akash Sharma,North,AjmerHub_AJM_PL,EXT,Present,92,NA
07-08-2026,Akash Sharma,North,AjmerHub_AJM_PL,FK,Future,131,NA
07-08-2026,Akash Sharma,North,AjmerHub_AJM_PL,FK,Past,13,NA
07-08-2026,Akash Sharma,North,AjmerHub_AJM_PL,FK,Present,1680,NA
07-08-2026,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Future,73,NA
07-08-2026,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Past,1,NA
07-08-2026,Akash Sharma,North,AjmerHub_AJM_PL,MYE,Present,145,NA
07-08-2026,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Future,4,NA
07-08-2026,Akash Sharma,North,AlwarHub_ALW_PL,EXT,Present,34,NA
07-08-2026,Akash Sharma,North,AlwarHub_ALW_PL,FK,Future,133,NA
07-08-2026,Akash Sharma,North,AlwarHub_ALW_PL,FK,Past,20,NA
07-08-2026,Akash Sharma,North,AlwarHub_ALW_PL,FK,Present,2935,NA
07-08-2026,Akash Sharma,North,AlwarHub_ALW_PL,MYE,Future,18,NA
07-08-2026,Akash Sharma,North,AlwarHub_ALW_PL,MYE,Present,13,NA
07-08-2026,Akash Sharma,North,BalotraHub_BLO_PL,EXT,Past,3,NA
07-08-2026,Akash Sharma,North,BalotraHub_BLO_PL,FK,Future,102,NA
07-08-2026,Akash Sharma,North,BalotraHub_BLO_PL,FK,Past,33,NA
07-08-2026,Akash Sharma,North,BalotraHub_BLO_PL,FK,Present,1342,NA
07-08-2026,Akash Sharma,North,BalotraHub_BLO_PL,MYE,Future,12,NA
07-08-2026,Akash Sharma,North,BalotraHub_BLO_PL,MYE,Present,43,NA
07-08-2026,Akash Sharma,North,BarmerHub_BMR_PL,EXT,Past,1,NA
07-08-2026,Akash Sharma,North,BarmerHub_BMR_PL,FK,Future,20,NA
07-08-2026,Akash Sharma,North,BarmerHub_BMR_PL,FK,Present,125,NA
07-08-2026,Akash Sharma,North,BeawarHub_BEA_PL,EXT,Future,1,NA
07-08-2026,Akash Sharma,North,BeawarHub_BEA_PL,FK,Future,80,NA
07-08-2026,Akash Sharma,North,BeawarHub_BEA_PL,FK,Past,11,NA
07-08-2026,Akash Sharma,North,BeawarHub_BEA_PL,FK,Present,556,NA
07-08-2026,Akash Sharma,North,BeawarHub_BEA_PL,MYE,Future,3,NA
07-08-2026,Akash Sharma,North,BeawarHub_BEA_PL,MYE,Present,131,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Future,59,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Past,42,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,EXT,Present,260,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Future,867,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Past,283,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,FK,Present,37299,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Future,970,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Past,28,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,MYE,Present,1963,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Future,122,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Past,7,NA
07-08-2026,Akash Sharma,North,BhankrotaHub_JAI_PL,MYS,Present,4974,NA
07-08-2026,Akash Sharma,North,BharatpurHub_BTP_PL,EXT,Past,16,NA
07-08-2026,Akash Sharma,North,BharatpurHub_BTP_PL,EXT,Present,3,NA
07-08-2026,Akash Sharma,North,BharatpurHub_BTP_PL,FK,Future,2,NA
07-08-2026,Akash Sharma,North,BharatpurHub_BTP_PL,FK,Past,31,NA
07-08-2026,Akash Sharma,North,BharatpurHub_BTP_PL,FK,Present,765,NA
07-08-2026,Akash Sharma,North,BharatpurHub_BTP_PL,MYE,Future,1,NA
07-08-2026,Akash Sharma,North,BharatpurHub_BTP_PL,MYE,Present,10,NA
07-08-2026,Akash Sharma,North,BhilwaraHub_BLW_PL,EXT,Future,31,NA
07-08-2026,Akash Sharma,North,BhilwaraHub_BLW_PL,EXT,Past,9,NA
07-08-2026,Akash Sharma,North,BhilwaraHub_BLW_PL,EXT,Present,152,NA
